,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,
#,HealthyEatingCampaign,Campanha de Alimentação Saudável,default,"Através de programas de culinária, anúncios e promoções em jornais e outros meios de comunicação, as pessoas são encorajadas estar ciente do que comem, quais os resultados de alimentação ruim e como preparar uma boa refeição. Isso aumenta a saúde geral das pessoas, reduzindo a obesidade.",,2,2,1,1,PUBLICSERVICES,30,90,,2,0,0,,#Effects,"Health,0.01+(0.04*x)","Obesity,0.00-(0.04*x)",,
#,CyclingCampaign,Lei de incentivo ao Ciclismo,default,"Esta campanha destaca as muitas vantagens que as bicicletas têm em nossas cidades. Seja para evitar engarrafamentos, economizar combustível ou para ajudar a prevenir a poluição .A bicicleta faz tudo isso, as pessoas só não sabemainda.",,2,2,1,1,TRANSPORT,25,80,,2,0,0,,#Effects,"Health,0.02+(0.02*x)","CarUsage,0-(0.03*x),8","RailUsage,0-(0.03*x),8","BusUsage,0-(0.03*x),8"
#,CarPoolingCampaign,Campanha de Caronas,default,"É preciso algum incentivo para que as pessoas se reúnam para fazer melhor uso dos recursos que tem. Carona solidária é um bom exemplo disso, esta campanha vai fazer as pessoas perceberem o quão divertido e útil pode ser o carona solidária, reduzindo o tempo de congestionamento no tráfego. E se você ainda acabar em um engarrafamento, você pelo menos tem pessoas para conversar enquanto espera.",,2,2,1,1,TRANSPORT,20,60,,2,0,0,,#Effects,"CarUsage,-0.01-(0.03*x),8",,,
#,KeepTheCountryTidyCampaign,Campanha 'Mantenha o País Limpo',default,"A campanha na mídia popular, criada para fazer as pessoas se sentirem culpadas por jogar lixo na rua. Não importa o valor da multa, isso só funciona se as pessoas estão sendo vistas. Mas uma consciência culpada funcionará quando alguém está sozinho, tornando-se mais eficaz a longo prazo.",,2,2,1,1,PUBLICSERVICES,30,90,,2,0,0,,#Effects,"Environment,0+(0.04*x),8","Environmentalist,0.04+(0.02*x)","Environmentalist_freq,0+(0.05*x),16",
#,TourismAdCampaign,Campanha de Publicidade Turística,default,"Turismo não é apenas uma fonte de renda para muitas pessoas e empresas, mas também fortalece as relações exteriores. Esta campanha será veiculada em países estrangeiros, mostrando nossos mais belos lugares, pontos turísticos importantes para ver, pessoas maravilhosas para atender, cervejas saborosas para beber e ainda passe livre para museus e shows, tudo na esperança de atrair mais turistas.",,2,2,1,1,FOREIGNPOLICY,40,110,,2,0,0,,#Effects,"Tourism,0+(0.08*x),4","ForeignRelations,0+(0.04*x),4",,
#,AlcoholAwarenessCampaign,Campanha 'Beba Moderadamente',default,"O álcool pode ser perigoso, mesmo com moderação. Para aumentar a conscientização, esta campanha vai mostrar todos os problemas que o álcool pode trazer-lhe, de amizades arruinadas até morte. Certamente não é um assunto feliz, mas é sempre melhor ter o seu humor prejudicado agora e ficar sóbrio do que sofrer grande com as consequências depois.",,2,2,1,1,WELFARE,25,80,,2,0,0,,#Effects,"AlcoholConsumption,0-(0.1*x),12",,,
#,BusinessStartupCampaign,Abertura de Campanha Presidencial,default,"Muitas pessoas têm idéias brilhantes, mas apenas algumas se atreve a dar os passos necessário para criar seu próprio negócio em torno dessa idéia. Esta campanha vai ajudar essas pessoas, informando o que elas precisam fazer, onde elas precisam ir e o que é necessario para começar. Isso vai ajudar a cria novos empresários.",,2,2,1,1,ECONOMY,20,75,,2,0,0,,#Effects,"SelfEmployed,0.1+(0.03*x)","SelfEmployed_freq,0+(0.12*x),16","_global_socialism,0-(0.05*x),16","Capitalist,0+(0.03*x),4"
#,YouthPoliticsCouncil,Conselho Político da Juventude,default,"Em qualquer democracia, é de extrema importância ensinar nossos filhos como a política funciona e que pode ser alcançado através dela. Ao estabelecer Câmara da Juventude, os jovens podem obter experiência em primeira mão a nível local e regional, ver que eles podem fazer a diferença e, talvez, os líderes de amanhã estão sendo recrutados aqui.",,2,3,1,1,PUBLICSERVICES,40,120,,2,0,0,,#Effects,"Young,0.01+(0.04*x)",,,
#,NationalArmedForcesWeek,Semana Nacional das Forças Armadas,default,"Nossos soldados precisam ser reconhecidos. Ao estabelecer uma semana da Forças Armadas, isso pode ser feito por celebrar o seu serviço para o nosso país, fazendo com que se sintam apreciados e mostrando ao público que esses bravos homens e mulheres arriscam suas vidas para a nossa segurança.",,2,8,5,5,LAWANDORDER,40,120,,2,0,0,,#Effects,"Patriot,0.02+(0.03*x)","Patriot_freq,0+(0.1*x),16",,
#,FreeParentingClasses,Aulas Gratuitas para Pais,default,"Ter um filho recém-nascido pode ser muito desgastante e cansativo para os novos pais. Ao introduzir estas aulas gratuitas, os pais podem aprender a lidar com esta situação, como educar seus filhos e ter uma vida normal, ao mesmo tempo. Isso não fará os bebês chorar menos, mas vai fazer os pais mais resistente ao stress, além vão conhecer outros pais na mesma situação.",,3,9,2,2,PUBLICSERVICES,40,225,,4,0,0,,#Effects,"Parents,0.05+(0.04*x)","Parents_freq,0+(0.03*x),24",,
#,NationalBusinessCouncil,Conselho Nacional de Negócios,default,"A criação de um conselho empresarial dá uma forte voz para os interesses das empresas e assegura que as necessidades das empresas, grandes e pequenas são levadas em conta. O conselho promover o capitalismo na empresa e incentiva a criação de emprego e prosperidade.",,2,2,2,2,ECONOMY,40,160,,2,0,0,,#Effects,"Capitalist,0.02+(0.04*x)","GDP,0.01+(0.02*x),24","_global_socialism,0-(0.03*x),20",
#,SocialJusticeFoundation,Fundação de Justiça Social,default,"Esta medida estabelecerá uma fundação que lida com as preocupações e problemas dos pobres e mal-representados de nosso país. Ela erradicará algumas preocupações dessas pessoas e dará a elas um sentimento maior de inclusão na sociedade. Não será uma melhora na vida delas diretamente, mas ao menos dará a esperança de um futuro melhor, e a esperança é muito importante.",,2,6,2,2,PUBLICSERVICES,30,100,,2,0,0,,#Effects,"_global_liberalism,0.01+(0.02*x),16",,,
#,SmartMeterProgram,Programa Medidores Inteligentes,default,"Ao instalar medidores inteligentes em suas casas, as pessoas podem economizar dinheiro e ajudar o meio ambiente, ao mesmo tempo, uma vez que irá aumentar a eficiencia de energia utilizada. Vai demorar para convencer a todos e não vai causar milagres, mas ira economizar muita energia no longo prazo e ajudar a salvar a natureza para os nossos filhos.",,4,4,1,1,ECONOMY,20,240,,8,0,0,,#Effects,"EnergyEfficiency,0+(0.07*x),4","Environmentalist,0.02+(0.02*x)","Environmentalist_freq,0+(0.05*x),16",
#,NeedleExchangeProgram,Programa Troca de Seringas,default,"Além da droga em si ser ruim, as agulhas reutilizadas é um perigo adicional paraos viciados. Para ajudar, o programa de troca de seringas vai ajudar os viciados em conseguir agulhas limpas para as suas necessidades, além de oferecer ajuda começa uma vida normal novamente. Os conservadores podem pensar nisso como incentivo, mas os liberais vêem isso como uma maneira de combater o uso de drogas, a longo prazo.",,12,12,2,2,LAWANDORDER,20,120,,4,0,0,,#Effects,"Liberal,0.02+(0.02*x)","Conservatives,0-(0.03*x)","Health,0+(0.04*x),4",
#,StampOutRacismWeek,Semana Contra O Racismo,default,"Uma semana do ano será dedicada a aceitar a diversidade cultural e racial, com o objetivo de reduzir o racismo. Isto inclui especialidades na mídia, pequenos mercados alimentares com iguarias de todo o mundo, reuniões comunitárias, festas e competições entre amigos.",,8,12,1,1,PUBLICSERVICES,20,80,,1,0,0,,#Effects,"RacialTension,0-(0.03*x),8","_global_liberalism,0+(0.04*x),16",,
#,CompulsoryFoodLabelling,Obrigatória a Rotulagem de Alimentos,default,"Há uma abundância de alimentos que não são saudáveis, mas as empresas têm encontrado maneiras inteligentes de ofuscam isto, colocando a lista de ingredientes em menor impressão. Agora é uma obrigação a Rotulagem de Alimentos: Todos os alimentos devem agora mostrar todos os ingredientes e aditivos do mesmo, tornando mais fácil para as pessoas escolher a comida mais saudáveis que eles querem comer.",,12,12,6,6,PUBLICSERVICES,30,120,,2,0,0,,#Effects,"Obesity,-0.02-(0.03*x),12","Health,0.02+(0.03*x),8","Capitalist,0-(0.02*x)","GDP,0-(0.01*x),8"
#,TradeCouncil,Conselho de Comércio,default,"Sempre foi um aborrecimento encontrar parceiros comerciais de confiança nos países estrangeiros. Com a criação do Conselho de Comércio Internacional, este se tornará mais fácil, como potenciais parceiros comerciais estão listados aqui. Isto irá aumentar o comércio internacional e impulsionar a economia.",,2,4,2,2,ECONOMY,30,110,,2,0,0,,#Effects,"InternationalTrade,0.01+(0.03*x),8","ForeignRelations,0+(0.04*x),8",,
#,CompulsoryForeignLanguageClasses,Aula de Língua Estrangeira Obrigatória,default,"O primeiro passo para entender outros povos é necessário primeiro compreender seu idioma. Com o ensino de aulas de línguas estrangeiras obrigatórias, nosos jovens serão ensinados línguas estrangeiras desde cedo, para que possam mais tarde usá-los bem. Irá reduzir a tensão racial ao mesmo tempo melhorar o comércio exterior e relações.",,5,5,1,1,PUBLICSERVICES,30,60,,2,0,0,,#Effects,"InternationalTrade,0.01+(0.02*x),24","ForeignRelations,0.01+(0.02*x),24","RacialTension,0-(0.015*x),12",
#,LaborDayBankHoliday,Dia do Trabalho,default,"Isto torna o Dia do Trabalho um feriado nacional, lembrando aos cidadãos que o dinheiro não é tudo em nossa vida. Isso certamente vai ajudar a aumentar a felicidade da classe trabalhadora e todos aqueles que desejam ter um tempo livre, mas terá um pequeno impacto negativo sobre a economia, porque um dia perdido é dinheiro perdido.",,3,14,5,5,ECONOMY,0,0,,2,0,0,,#Effects,"GDP,-0-(0.02*x),4","_global_socialism,0.02+(0.02*x),8","Socialist,0.02+(0.03*x)",
#,CityFarms,Fazendas Urbanas,default,"Muitas pessoas adorariam comprar produtos diretamente dos fazendeiros, mas quando se vive na cidade, é um aborrecimento viajar até o interior. Por que não, então, trazer alguns fazendeiros diretamente às cidades? Este programa ajuda fazendeiros ambiciosos a estabelecer fazendas dentro ou ao redor das cidades para que possam estar próximos de seus consumidores, e pode levar alguns jovens da cidade a considerar uma carreira na agricultura.",,3,8,4,4,ECONOMY,30,110,,4,0,0,,#Effects,"Farmers,0.02+(0.04*x)","Farmers_freq,0+(0.04*x),16",,
#,EcoHomeRegulations,Estatutos das casas verdes,default,"Ao definir regras e normas ecológicamentes corretas para casas, há mais custos para serem consideradas agora na construção de casas. Isso causar um aborrecimento para os construtores e proprietários, mas vai ajudar a proteger o meio ambiente a longo prazo.",,10,10,5,5,ECONOMY,30,120,,4,0,0,,#Effects,"Capitalist,0-(0.04*x)","Environmentalist,0+(0.04*x)","CO2Emissions,0-(0.04*x)","Environmentalist_freq,0+(0.04*x),24"
#,YoungEntrepreneurScheme,Jovem Empreendedor,default,"Este esquema é para ajudar e apoiar os jovens que visam se tornar empresários no futuro. Dando-lhes oportunidades de aprender com os grandes empresários ganhando experiência sobre o que fazer e como, isso vai aumentar a felicidade entre os capitalistas, pois eles vêem o seu futuro garantido.",,6,6,4,4,ECONOMY,20,80,,2,0,0,,#Effects,"Capitalist,0.03+(0.03*x)","Young,0+(0.04*x)","_global_socialism,0-(0.07*x),24",
#,DiplomaticService,Serviço Diplomático,default,"Ter apenas um embaixador e um secretário em um país estrangeiro é pouco, empregando um serviço diplomático completo torna-o mais caro, mas na diplomacia internacional, em que você precisa permanecer no topo, a fim de obter as melhores ofertas para o seu país e para manter todos os envolvidos felizes. Pode levar algum tempo para começar a funcionar eficazmente, mas vai impulsionar relações exteriores.",,8,10,4,4,FOREIGNPOLICY,40,160,,4,0,0,,#Effects,"ForeignRelations,0+(0.07*x),24",,,
#,WitnessProtectionProgram,Programa de Proteção à Testemunha,default,"De que adianta pegar um criminoso se a testemunha desaparece para sempre? Proteger essas testemunhas é de extrema importância para um sistema de justiça, e o que é melhor, mais criminosos condenados se mais testemunhas apresente quando virem um crime.",,2,10,1,1,LAWANDORDER,40,160,,4,0,0,,#Effects,"ViolentCrimeRate,0-(0.1*x)","Organised Crime,0-(0.1*x),12",,
#,CompulsorySchoolSports,Esportes Escolares Compulsórios,default,"Além da educação física uma vez por semana nas escolas, este programa irá introduzir aulas de esportes semanal. Os alunos serão incentivados a escolher um esporte que eles gostam e treinar para isso, mais tarde competir em torneios escolares em nível local, regional e até mesmo nacional e internacional, se eles são bons o suficiente. Isto irá aumentar a saúde de nossas crianças.",,4,8,1,1,PUBLICSERVICES,25,100,,4,0,0,,#Effects,"Health,0.02+(0.025*x),16","Obesity,0-(0.05*x),16",,
#,BicycleSubsidies,Subsídios para Bicicletas,default,"Para incentivar as pessoas a mudar de carro para bicicleta, uma motivação financeira às vezes é necessário. Com a introdução de subsídios de bicicleta, agora será mais fácil e mais barato para as pessoas comprarem bicicletas. E isso vai resultar em mais pessoas usando uma bicicleta em vez de dirigir um carro, aumentando a saúde de todos por um pouco.",,2,10,2,2,TRANSPORT,30,220,,1,0,0,,#Effects,"Health,0.02+(0.02*x)","CarUsage,0-(0.03*x),8","RailUsage,0-(0.03*x),8","BusUsage,0-(0.03*x),8"
